id|version|name|description|type
||LICOR 43|LICOR 43|LIQUEURS
||LIMONCELLO|LIMONCELLO|LIQUEURS
||LYCHEE LIQUEUR|LYCHEE LIQUEUR|LIQUEURS
||MANGO LIQUEUR|MANGO LIQUEUR|LIQUEURS
||MARASCHINO CHERRY LIQUEUR|MARASCHINO CHERRY LIQUEUR|LIQUEURS
||MARIE BRIZARD GRAND ORANGE|MARIE BRIZARD GRAND ORANGE|LIQUEURS
||MIDORI|MIDORI|LIQUEURS
||MINT LIQUEUR|MINT LIQUEUR|LIQUEURS
||NATURAL YOGHURT LIQUEUR|NATURAL YOGHURT LIQUEUR|LIQUEURS
||ORANGE CURACAO|ORANGE CURACAO|LIQUEURS
||ORANGE LIQUEUR|ORANGE LIQUEUR|LIQUEURS
||PARFAIT AMOUR|PARFAIT AMOUR|LIQUEURS
||PASSIONFRUIT LIQUEUR|PASSIONFRUIT LIQUEUR|LIQUEURS
||PASSOA|PASSOA|LIQUEURS
||PEACH LIQUEUR|PEACH LIQUEUR|LIQUEURS
||PEAR LIQUEUR|PEAR LIQUEUR|LIQUEURS
||PEPPERMINT LIQUEUR|PEPPERMINT LIQUEUR|LIQUEURS
||PINEAPPLE SOURZ|PINEAPPLE SOURZ|LIQUEURS
||RASPBERRY LIQUEUR|RASPBERRY LIQUEUR|LIQUEURS
||RASPBERRY SOURZ|RASPBERRY SOURZ|LIQUEURS
||RAZZMATAZZ|RAZZMATAZZ|LIQUEURS
||RUMCHATA|RUMCHATA|LIQUEURS
||ST GERMAIN ELDERFLOW LIQUEUR|ST GERMAIN ELDERFLOW LIQUEUR|LIQUEURS
||STRAWBERRY LIQUEUR|STRAWBERRY LIQUEUR|LIQUEURS
||STREGA LIQUEUR|STREGA LIQUEUR|LIQUEURS
||CHOCOLATE LIQUEUR|CHOCOLATE LIQUEUR|LIQUEURS
||COFFEE LIQUEUR|COFFEE LIQUEUR|LIQUEURS
||CREAM LIQUEUR|CREAM LIQUEUR|LIQUEURS
||FRUIT LIQUEUR|FRUIT LIQUEUR|LIQUEURS
||HERB LIQUEUR|HERB LIQUEUR|LIQUEURS
||NUT LIQUEUR|NUT LIQUEUR|LIQUEURS
||OTHER LIQUEUR|OTHER LIQUEUR|LIQUEURS
||WHISKY LIQUEUR|WHISKY LIQUEUR|LIQUEURS
||SWEDISH PUNSCH|SWEDISH PUNSCH|LIQUEURS
||TIA MARIA|TIA MARIA|LIQUEURS
||TIRAMISU LIQUEUR|TIRAMISU LIQUEUR|LIQUEURS
||TRIPLE SEC|TRIPLE SEC|LIQUEURS
||TROPICAL SOURZ|TROPICAL SOURZ|LIQUEURS
||VANILLA LIQUEUR|VANILLA LIQUEUR|LIQUEURS
||WALNUT LIQUEUR|WALNUT LIQUEUR|LIQUEURS
||WATERMELON LIQUEUR|WATERMELON LIQUEUR|LIQUEURS
||CAVA|CAVA|WINES_CHAMPAGNES
||CHAMPAGNE|CHAMPAGNE|WINES_CHAMPAGNES
||CHARDONNAY|CHARDONNAY|WINES_CHAMPAGNES
||CHERRY LAMBRINI|CHERRY LAMBRINI|WINES_CHAMPAGNES
||COCCHI DI TORINO|COCCHI DI TORINO|WINES_CHAMPAGNES
||DRY VERMOUTH|DRY VERMOUTH|WINES_CHAMPAGNES
||DRY WHITE WINE|DRY WHITE WINE|WINES_CHAMPAGNES
||DUBONNET|DUBONNET|WINES_CHAMPAGNES
||DUBONNET ROUGE|DUBONNET ROUGE|WINES_CHAMPAGNES
||FRENCH VERMOUTH|FRENCH VERMOUTH|WINES_CHAMPAGNES
||GINGER WINE|GINGER WINE|WINES_CHAMPAGNES
||LILLET BLANC|LILLET BLANC|WINES_CHAMPAGNES
||MADEIRA|MADEIRA|WINES_CHAMPAGNES
||MARTINI BIANCO VERMOUTH|MARTINI BIANCO VERMOUTH|WINES_CHAMPAGNES
||MARTINI DRY|MARTINI DRY|WINES_CHAMPAGNES
||MARTINI GOLD|MARTINI GOLD|WINES_CHAMPAGNES
||MARTINI ROSSO|MARTINI ROSSO|WINES_CHAMPAGNES
||MARTINI VERMOUTH|MARTINI VERMOUTH|WINES_CHAMPAGNES
||NOILY PRAT|NOILY PRAT|WINES_CHAMPAGNES
||PINK CHAMPAGNE|PINK CHAMPAGNE|WINES_CHAMPAGNES
||PORT|PORT|WINES_CHAMPAGNES
||PROSECCO|PROSECCO|WINES_CHAMPAGNES
||RED PORT|RED PORT|WINES_CHAMPAGNES
||RED VERMOUTH|RED VERMOUTH|WINES_CHAMPAGNES
||RED WINE|RED WINE|WINES_CHAMPAGNES
||ROSE WINE|ROSE WINE|WINES_CHAMPAGNES
||RUBY PORT|RUBY PORT|WINES_CHAMPAGNES
||SHERRY DRY|SHERRY DRY|WINES_CHAMPAGNES
||SHERRY SWEET|SHERRY SWEET|WINES_CHAMPAGNES
||SPARKLING WHITE WINE|SPARKLING WHITE WINE|WINES_CHAMPAGNES
||STONES GINGER WINE|STONES GINGER WINE|WINES_CHAMPAGNES
||CHAMPAGNE|CHAMPAGNE|WINES_CHAMPAGNES
||FRUIT WINES|FRUIT WINES|WINES_CHAMPAGNES
||PORT|PORT|WINES_CHAMPAGNES
||RED WINE|RED WINE|WINES_CHAMPAGNES
||SHERRY|SHERRY|WINES_CHAMPAGNES
||VERMOUTH|VERMOUTH|WINES_CHAMPAGNES
||WHITE WINE|WHITE WINE|WINES_CHAMPAGNES
||SWEET RED VERMOUTH|SWEET RED VERMOUTH|WINES_CHAMPAGNES
||SWEET VERMOUTH|SWEET VERMOUTH|WINES_CHAMPAGNES
||VERMOUTH|VERMOUTH|WINES_CHAMPAGNES
||WHITE VERMOUTH|WHITE VERMOUTH|WINES_CHAMPAGNES
||APPLE CIDER|APPLE CIDER|BEERS_CIDERS
||BABYCHAM|BABYCHAM|BEERS_CIDERS
||BEER|BEER|BEERS_CIDERS
||BULMERS PEAR CIDER|BULMERS PEAR CIDER|BEERS_CIDERS
||CIDER|CIDER|BEERS_CIDERS
||COOR'S LIGHT|COOR'S LIGHT|BEERS_CIDERS
||DRY CIDER|DRY CIDER|BEERS_CIDERS
||FROSTY JACK'S WHITE CIDER|FROSTY JACK'S WHITE CIDER|BEERS_CIDERS
||GUINNESS|GUINNESS|BEERS_CIDERS
||LAGER|LAGER|BEERS_CIDERS
||LEMONGRASS AND CHILI BEER|LEMONGRASS AND CHILI BEER|BEERS_CIDERS
||LIGHT BEER|LIGHT BEER|BEERS_CIDERS
||MAGNERS CIDER|MAGNERS CIDER|BEERS_CIDERS
||NEWCASTLE BROWN ALE|NEWCASTLE BROWN ALE|BEERS_CIDERS
